id	name	dsc
1	STRUCT	structure (структура)
3	DYN_CHAR	динамический массив символов
4	DYN_UINT	динамический массив натуральных чисел
5	DYN_INT	динамический массив целых чисел
6	DYN_FLOAT	динамический массив чисел с плавающей точкой
7	DYN_BOOL	динамический битовый массив
8	DYN_BIT32	динамический массив для набора битов
9	DYN_STRING	динамический массив текстов
10	DYN_TIME	динамический массив значений времени
11	CHAR_STRUCT	символьная структура
12	UINT_STRUCT	структура целых чисел без знака
13	INT_STRUCT	Целочисленная структура
14	FLOAT_STRUCT	структура числа с плавающей точкой
15	BOOL_STRUCT	битовая структура
16	BIT32_STRUCT	структура набора битов
17	STRING_STRUCT	структура текста
18	TIME_STRUCT	структура обозначений времени
19	CHAR	символ
20	UINT	целое число без знака
21	INT	целое число
22	FLOAT	система с плавающей точкой
23	BOOL	бит
24	BIT32	набор битов
25	STRING	текст
26	TIME	время (time)
27	DPID	идентификатор точки данных
29	DYN_DPID	динамический массив идентификаторов точек данных
30	DYN_CHAR_STRUCT	структура динамического массива символов
31	DYN_UINT_STRUCT	динамический массив положительных целых чисел
32	DYN_INT_STRUCT	Динамическая структура целого числа
33	DYN_FLOAT_STRUCT	структура динамического массива чисел с плавающей точкой
34	DYN_BOOL_STRUCT	структура динамического битового массива
35	DYN_BIT32_STRUCT	структура динамического массива для набора битов
36	DYN_STRING_STRUCT	структура динамического массива текстов
37	DYN_TIME_STRUCT	структура динамического массива значений времени
38	DYN_DPID_STRUCT	структура динамического массива идентификаторов точек данных
39	DPID_STRUCT	структура метки
41	TYPEREF	ссылка на тип точки данных
42	LANGSTRING	описание (многоязычный текст)
43	LANGSTRING_STRUCT	структура описания
44	DYN_LANGSTRING	многоязычный динамический массив текстов
45	DYN_LANGSTRING_STRUCT	структура многоязычного динамического массива текстов
46	BLOB	blob (большой двоичный объект)
47	BLOB_STRUCT	структура blob
48	DYN_BLOB	динамический blob
49	DYN_BLOB_STRUCT	структура динамического blob
